Mes;Anyo;TotQty;Column1
3;2018;1894863,12;188069254,9
4;2018;2083558,16;199491118,8
5;2018;3431855,302;337262226,9
6;2018;2326873,274;244194293
7;2018;2258841,165;237689586,9
8;2018;3098906,175;211103306,5
9;2018;2905520,41;247285255,1
10;2018;3428040,592;269920058,7
11;2018;2837633,28;212341610,7
12;2018;3194685,864;257974557,4
1;2019;4367039,58;333772101
2;2019;2227513,3;178044785,2
3;2019;2491004,88;196322278,2
4;2019;2906872,8;271739203,2
5;2019;4081456,28;352160010,4
6;2019;2829753,576;258682739,6
7;2019;4046420,3;312763297,6
8;2019;3029513,695;244684560,9
9;2019;3756113,28;307158918,4
10;2019;3788955,531;301040558,4
11;2019;2878571,992;243503473,2
12;2019;3555760,575;275783544,5
1;2020;4947571,86;391910195,6
2;2020;2555128,3;197919814
3;2020;3821759,732;289306723,1
4;2020;15872,4;797589